EU,Product.Type,Product.Type.Code,Product.Subtype,Product.Subtype.Code,Product.Subtype.Code.Check,Product,Product.Simple,Product.Simple.Code,Product.Code.Check,Component,Latin.Name,Notes,Nfix,Tree,Mulched,Incorp,Unknown.Fate,ECOCROP.Name,ECOCROP.Notes,ICC_Code_1.1,ICC_CropName,Livestock_Group,Livestock_Class,Livestock_Descriptor,CPC_Code_2.1,WFO_Code,UN_Comtrade_Code_1,UN_Comtrade_Description_1,UN_Comtrade_Code_2,UN_Comtrade_Description_2,Ref_Source,Ref_Name,Ref_Link,Ref_Match,Ref_Notes,Ref2_Source,Ref2_Name,Ref2_Link,Ref2_Match,Ref2_Notes
o28,Plant,Plant,Fodders,Fo,TRUE,Centrosema pascuorum,Centrosema pascuorum,CePa,TRUE,Biomass,Centrosema pascuorum,,Yes,No,b27.1,b41.1,b40.1,Centrosema pascuorum,,no match,no match,NA,NA,NA,NA,wfo-0000165564,no match,,,,,,,,,,,,,
o29,Plant,Plant,Fodders,Fo,TRUE,Guinea Grass,Guinea Grass,GuGr,TRUE,Biomass,Megathyrsus maximus,synonym of Panicum maximum,No,No,b27.2,b41.2,b40.2,NA,No match,no match,no match,NA,NA,NA,NA,wfo-0000885123,no match,,,,,,,,,,,,,
o30,Plant,Plant,Fodders,Fo,TRUE,Desho Grass,Desho Grass,DeGr,TRUE,Biomass,Pennisetum pedicellatum,,No,No,b27.2,b41.2,b40.2,Pennisetum pedicellatum,,no match,no match,NA,NA,NA,NA,wfo-0000889043,no match,,,,,,,,,,,,,
o31,Plant,Plant,Fodders,Fo,TRUE,Alfalfa,Alfalfa,Alf,TRUE,Biomass,Medicago sativa,,Yes,No,b27.1,b41.1,b40.1,Medicago sativa,,no match,no match,NA,NA,NA,NA,wfo-0000213468,121410,lucerne (alfalfa) meal and pellets,,,,,,,,,,,,
o31.1,Plant,Plant,Fodders,Fo,TRUE,Alfalfa,Alfalfa,Alf,TRUE,Seed,Medicago sativa,,Yes,No,b27.1,b41.1,b40.1,Medicago sativa,,no match,no match,NA,NA,NA,NA,wfo-0000213468,120921,"seed; lucerne (alfalfa) seed, of a kind used for sowing",,,,,,,,,,,,
o32,Plant,Plant,Fodders,Fo,TRUE,Subterranean Clover,Subterranean Clover,SuCl,TRUE,Biomass,Trifolium subterraneum,,Yes,No,b27.1,b41.1,b40.1,Trifolium subterraneum,,no match,no match,NA,NA,NA,NA,wfo-0000213094,no match,,,,,,,,,,,,,
o33,Plant,Plant,Fodders,Fo,TRUE,Congo Grass,Congo Grass,CoGr,TRUE,Biomass,Brachiaria ruziziensis,,No,No,b27.2,b41.2,b40.2,Brachiaria ruziziensis,,no match,no match,NA,NA,NA,NA,wfo-0000854234,no match,,,,,,,,,,,,,
o34,Plant,Plant,Fodders,Fo,TRUE,Buffel Grass,Cenchrus ciliaris,CeCi,TRUE,Biomass,Cenchrus ciliaris,,No,No,b27.2,b41.2,b40.2,Cenchrus ciliaris,,no match,no match,NA,NA,NA,NA,wfo-0000858573,no match,,,,,,,,,,,,,
o35,Plant,Plant,Fodders,Fo,TRUE,Enteropogon monostachyos,Enteropogon monostachyos,EnMo,TRUE,Biomass,Enteropogon monostachyos,,No,No,b27.2,b41.2,b40.2,NA,No match,no match,no match,NA,NA,NA,NA,wfo-0000867188-wfo-0000867193,no match,,,,,,,,,,,,,
o36,Plant,Plant,Fodders,Fo,TRUE,Eragrostis superba,Eragrostis superba,ErSu,TRUE,Biomass,Eragrostis superba,,No,No,b27.2,b41.2,b40.2,Eragrostis superba,,no match,no match,NA,NA,NA,NA,wfo-0000868497,no match,,,,,,,,,,,,,
o37,Plant,Plant,Fodders,Fo,TRUE,Stylosanthes hamata,Stylosanthes hamata,StHa,TRUE,Biomass,Stylosanthes hamata,,Yes,No,b27.1,b41.1,b40.1,Stylosanthes hamata,,no match,no match,NA,NA,NA,NA,wfo-0000182089,no match,,,,,,,,,,,,,
o38,Plant,Plant,Fodders,Fo,TRUE,Stylosanthes guianensis,Stylosanthes guianensis,StGu,TRUE,Biomass,Stylosanthes guianensis,,Yes,No,b27.1,b41.1,b40.1,Stylosanthes guianensis averaged,,no match,no match,NA,NA,NA,NA,wfo-0000176386,no match,,,,,,,,,,,,,
o39,Plant,Plant,Fodders,Fo,TRUE,Sunn Hemp,Sunn Hemp,SuHe,TRUE,Biomass,Crotalaria juncea,,Yes,Yes,a16.1,a16.2,a16,Crotalaria juncea,,no match,no match,NA,NA,NA,NA,wfo-0000210925,no match,,,,,,,,,,,,,
o40,Plant,Plant,Fodders,Fo,TRUE,Themeda triandra,Themeda triandra,ThTr,TRUE,Biomass,Themeda triandra,,No,No,b27.2,b41.2,b40.2,Themeda triandra,,no match,no match,NA,NA,NA,NA,wfo-0000903590,no match,,,,,,,,,,,,,
o41,Plant,Plant,Fodders,Fo,TRUE,Chamaecrista rotundifolia,Chamaecrista rotundifolia,ChRo,TRUE,Biomass,Chamaecrista rotundifolia,,Yes,No,b27.1,b41.1,b40.1,NA,No match,no match,no match,NA,NA,NA,NA,wfo-0000164633,no match,,,,,,,,,,,,,
o42,Plant,Plant,Fodders,Fo,TRUE,Centrosema brasilianum,Centrosema brasilianum,CeBr,TRUE,Biomass,Centrosema brasilianum,,Yes,No,b27.1,b41.1,b40.1,Centrosema brasilianum,,no match,no match,NA,NA,NA,NA,wfo-0000174032,no match,,,,,,,,,,,,,
o43,Plant,Plant,Fodders,Fo,TRUE,Pueraria phaseoloides,Pueraria phaseoloides,PuPh,TRUE,Biomass,Pueraria phaseoloides,,Yes,No,b27.1,b41.1,b40.1,Pueraria phaseoloides,,no match,no match,NA,NA,NA,NA,wfo-0000183806,no match,,,,,,,,,,,,,
o44,Plant,Plant,Fodders,Fo,TRUE,Aeschynomene afraspera,Aeschynomene afraspera,AeAf,TRUE,Biomass,Aeschynomene afraspera,,Yes,No,b27.1,b41.1,b40.1,Aeschynomene averaged,,no match,no match,NA,NA,NA,NA,wfo-0000173003,no match,,,,,,,,,,,,,
o45,Plant,Plant,Fodders,Fo,TRUE,Crotalaria ochroleuca,Crotalaria ochroleuca,CrOc,TRUE,Biomass,Crotalaria ochroleuca,,Yes,No,b27.1,b41.1,b40.1,Crotalaria averaged,,no match,no match,NA,NA,NA,NA,wfo-0000209242,no match,,,,,,,,,,,,,
o46,Plant,Plant,Fodders,Fo,TRUE,Trifolium quartinianum,Trifolium quartinianum,TrQu,TRUE,Biomass,Trifolium quartinianum,,Yes,No,b27.1,b41.1,b40.1,Trifolium quartinianum,,no match,no match,NA,NA,NA,NA,wfo-0000213061,no match,,,,,,,,,,,,,
o47,Plant,Plant,Fodders,Fo,TRUE,Trifolium steudneri,Trifolium steudneri,TrSt,TRUE,Biomass,Trifolium steudneri,,Yes,No,b27.1,b41.1,b40.1,Trifolium steudneri,,no match,no match,NA,NA,NA,NA,wfo-0000213086,no match,,,,,,,,,,,,,
o48,Plant,Plant,Fodders,Fo,TRUE,Andropogon gayanus,Andropogon gayanus,AnGa,TRUE,Biomass,Andropogon gayanus,aka Gamba Grass,No,No,b27.2,b41.2,b40.2,Andropogon gayanus,,no match,no match,NA,NA,NA,NA,wfo-0000846619,no match,,,,,,,,,,,,,
h26,Plant,Plant,Fodders,Fo,TRUE,Egyptian Clover,Egyptian Clover,EgCl,TRUE,Biomass,Trifolium alexandrinum,,Yes,No,b27.1,b41.1,b40.1,Trifolium alexandrinum,,no match,no match,NA,NA,NA,NA,wfo-0000212963,no match,,,,,,,,,,,,,
s1,Plant,Plant,Fodders,Fo,TRUE,Cover Crop or Green Manure,Cover Crop or Green Manure,CoCr,TRUE,Biomass,NA,List any species details in the variety column,#N/A,#N/A,#N/A,#N/A,NA,NA,NA,no match,no match,NA,NA,NA,NA,NA,no match,,,,,,,,,,,,,
m1,Non-product,Non-product,Energy Production,EnPr,TRUE,Cookstove,Cookstove,CoSt,TRUE,NA,NA,"Cookstove outcomes, income, labour, emissions, etc.",NA,NA,NA,NA,NA,NA,NA,no match,no match,NA,NA,NA,NA,NA,7321,"stoves, ranges, grates, cookers (those with subsidiary boilers for central heating), barbecues, braziers, gas-rings, plate warmers and similar non-electric domestic appliances and parts, of iron or steel",,,,,,,,,,,,
m2,Non-product,Non-product,Energy Production,EnPr,TRUE,Biodigester,Biodigester,Biod,TRUE,NA,NA,,NA,NA,NA,NA,NA,NA,NA,no match,no match,NA,NA,NA,NA,NA,no match,,,,,,,,,,,,,
m5,Non-product,Non-product,Energy Production,EnPr,TRUE,Biogas,Biogas,Biog,TRUE,NA,NA,,NA,NA,NA,NA,NA,NA,NA,no match,no match,NA,NA,NA,NA,NA,no match,,,,,,,,,,,,,
m6,Non-product,Non-product,Energy Production,EnPr,TRUE,Other Fuel,Other Fuel,OtFu,TRUE,NA,NA,"If not covered by Fibre & Wood, e.g. Firewood (r2) or Charcoal (r3).",NA,NA,NA,NA,NA,NA,NA,no match,no match,NA,NA,NA,NA,NA,3,fuels and lubricants,,,,,,,,,,,,
s3,Non-product,Non-product,Cover Crop,CoCr,TRUE,Ornithopus sativus,Ornithopus sativus,OrSa,TRUE,Biomass,Ornithopus sativus,,No,No,b27.2,b41.2,b40.2,Ornithopus sativus,,no match,no match,NA,NA,NA,NA,wfo-0000205829,no match,,,,,,,,,,,,,
s4,Non-product,Non-product,Cover Crop,CoCr,TRUE,Medicago truncatula,Medicago truncatula,MeTr,TRUE,Biomass,Medicago truncatula,,Yes,No,b27.1,b41.1,b40.1,Medicago truncatula,,no match,no match,NA,NA,NA,NA,wfo-0000213477,no match,,,,,,,,,,,,,
s5,Non-product,Non-product,Cover Crop,CoCr,TRUE,Felicia heterophylla,Felicia heterophylla,FeHe,TRUE,Biomass,Felicia heterophylla,,No,No,b27.2,b41.2,b40.2,NA,No match,no match,no match,NA,NA,NA,NA,wfo-0000088691,no match,,,,,,,,,,,,,
s6,Non-product,Non-product,Cover Crop,CoCr,TRUE,Dimorphotheca pluvialis,Dimorphotheca pluvialis,DiPl,TRUE,Biomass,Dimorphotheca pluvialis,,No,No,b27.2,b41.2,b40.2,NA,No match,no match,no match,NA,NA,NA,NA,wfo-0000127997,no match,,,,,,,,,,,,,
s7,Non-product,Non-product,Cover Crop,CoCr,TRUE,Senecio elegans,Senecio elegans,SeEl,TRUE,Biomass,Senecio elegans,,No,No,b27.2,b41.2,b40.2,NA,No match,no match,no match,NA,NA,NA,NA,wfo-0000074874,no match,,,,,,,,,,,,,
s8,Non-product,Non-product,Cover Crop,CoCr,TRUE,Geranium incanum,Geranium incanum,GeIn,TRUE,Biomass,Geranium incanum,,No,No,b27.2,b41.2,b40.2,NA,No match,no match,no match,NA,NA,NA,NA,wfo-0000700650,no match,,,,,,,,,,,,,
s9,Non-product,Non-product,Cover Crop,CoCr,TRUE,Hermannia pinnata,Hermannia pinnata,HePi,TRUE,Biomass,Hermannia pinnata,,No,No,b27.2,b41.2,b40.2,NA,No match,no match,no match,NA,NA,NA,NA,wfo-0001141024,no match,,,,,,,,,,,,,
s10,Non-product,Non-product,Cover Crop,CoCr,TRUE,Helichrysum petiolare,Helichrysum petiolare,HePe,TRUE,Biomass,Helichrysum petiolare,,No,No,b27.2,b41.2,b40.2,NA,No match,no match,no match,NA,NA,NA,NA,wfo-0000024510,no match,,,,,,,,,,,,,
s11,Non-product,Non-product,Cover Crop,CoCr,TRUE,Pelargonium capitatum,Pelargonium capitatum,PeCa,TRUE,Biomass,Pelargonium capitatum,,No,No,b27.2,b41.2,b40.2,NA,No match,no match,no match,NA,NA,NA,NA,wfo-0001064058,no match,,,,,,,,,,,,,
s12,Non-product,Non-product,Cover Crop,CoCr,TRUE,Gazania krebsiana,Gazania krebsiana,GaKr,TRUE,Biomass,Gazania krebsiana,,No,No,b27.2,b41.2,b40.2,NA,No match,no match,no match,NA,NA,NA,NA,wfo-0000040495,no match,,,,,,,,,,,,,
s13,Non-product,Non-product,Cover Crop,CoCr,TRUE,Steirodiscus tagetes,Steirodiscus tagetes,StTa,TRUE,Biomass,Steirodiscus tagetes,,No,No,b27.2,b41.2,b40.2,NA,No match,no match,no match,NA,NA,NA,NA,wfo-0000063658,no match,,,,,,,,,,,,,
s14,Non-product,Non-product,Cover Crop,CoCr,TRUE,Heliophila coronopifolia,Heliophyla coronopifolia,HeCr,TRUE,Biomass,Heliophyla coronopifolia,,No,No,b27.2,b41.2,b40.2,NA,No match,no match,no match,NA,NA,NA,NA,no match,no match,,,,,,,,,,,,,
s15,Non-product,Non-product,Cover Crop,CoCr,TRUE,Lessertia frutescens,Lessertia frutescens,LeFr,TRUE,Biomass,Lessertia frutescens,,Yes,No,b27.1,b41.1,b40.1,NA,No match,no match,no match,NA,NA,NA,NA,wfo-0001274560,no match,,,,,,,,,,,,,
s16,Non-product,Non-product,Cover Crop,CoCr,TRUE,Roella ciliata,Roella ciliata,RoCi,TRUE,Biomass,Roella ciliata,,No,No,b27.2,b41.2,b40.2,NA,No match,no match,no match,NA,NA,NA,NA,wfo-0000818110,no match,,,,,,,,,,,,,
s17,Non-product,Non-product,Cover Crop,CoCr,TRUE,Monopsis lutea,Monopsis lutea,MoLu,TRUE,Biomass,Monopsis lutea,,No,No,b27.2,b41.2,b40.2,NA,No match,no match,no match,NA,NA,NA,NA,wfo-0000816624,no match,,,,,,,,,,,,,
s18,Non-product,Non-product,Cover Crop,CoCr,TRUE,Cleretum bellidiforme,Cleretum bellidiforme,ClBe,TRUE,Biomass,Cleretum bellidiforme,,No,No,b27.2,b41.2,b40.2,NA,No match,no match,no match,NA,NA,NA,NA,wfo-0000611732,no match,,,,,,,,,,,,,
s19,Non-product,Non-product,Cover Crop,CoCr,TRUE,Lampranthus multiradiatus,Lampranthus multiradiatus,LaMu,TRUE,Biomass,Lampranthus multiradiatus,,No,No,b27.2,b41.2,b40.2,NA,No match,no match,no match,NA,NA,NA,NA,wfo-0000361350,no match,,,,,,,,,,,,,
s20,Non-product,Non-product,Cover Crop,CoCr,TRUE,Drosanthemum striatum,Drosanthemum striatum,DrSt,TRUE,Biomass,Drosanthemum striatum,,No,No,b27.2,b41.2,b40.2,NA,No match,no match,no match,NA,NA,NA,NA,wfo-0000656984,no match,,,,,,,,,,,,,
s21,Non-product,Non-product,Cover Crop,CoCr,TRUE,Drosanthemum speciosum,Drosanthemum speciosum,DrSp,TRUE,Biomass,Drosanthemum speciosum,,No,No,b27.2,b41.2,b40.2,NA,No match,no match,no match,NA,NA,NA,NA,wfo-0000656980,no match,,,,,,,,,,,,,
s22,Non-product,Non-product,Cover Crop,CoCr,TRUE,Drosanthemum floribundum,Drosanthemum floribundum,DrFl,TRUE,Biomass,Drosanthemum floribundum,,No,No,b27.2,b41.2,b40.2,NA,No match,no match,no match,NA,NA,NA,NA,wfo-0000656906,no match,,,,,,,,,,,,,
s23,Non-product,Non-product,Cover Crop,CoCr,TRUE,Unspecified Cover Crop,Unspecified Cover Crop,UnCC,TRUE,Biomass,NA,,No,No,b27.2,b41.2,b40.2,NA,NA,no match,no match,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
s24,Non-product,Non-product,Cover Crop,CoCr,TRUE,Crotalaria retusa,Crotalaria retusa,CrRe,TRUE,Biomass,Crotalaria retusa,,Yes,No,b27.1,b41.1,b40.1,Crotalaria averaged,,no match,no match,NA,NA,NA,NA,wfo-0000210930,no match,,,,,,,,,,,,,
s25,Non-product,Non-product,Cover Crop,CoCr,TRUE,Clitoria ternatea,Clitoria ternatea,ClTe,TRUE,Biomass,Clitoria ternatea,,Yes,No,b27.1,b41.1,b40.1,Clitoria ternatea,,no match,no match,NA,NA,NA,NA,wfo-0000179216,no match,,,,,,,,,,,,,
s26,Non-product,Non-product,Cover Crop,CoCr,TRUE,Centrosema pubescens,Centrosema pubescens,CePu,TRUE,Biomass,Centrosema pubescens,,Yes,No,b27.1,b41.1,b40.1,Centrosema pubescens,,no match,no match,NA,NA,NA,NA,wfo-0000179155,no match,,,,,,,,,,,,,
s27,Non-product,Non-product,Cover Crop,CoCr,TRUE,Mimosa invisa,Mimosa invisa,MiIn,TRUE,Biomass,Mimosa invisa,,Yes,Yes,a16.1,a16.2,a16,NA,No match,no match,no match,NA,NA,NA,NA,wfo-0000164675,no match,,,,,,,,,,,,,
NA,Non-product,Non-product,Fallow,Fa,TRUE,Natural Fallow,Natural Fallow,NaFa,TRUE,Biomass,NA,Added to provide residue codes to Rotation crop that receive residues from a natural fallow. In future this product should distinguish between woody and non-woody,NA,NA,b27,b41,b40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
